sat34-eth1	10.0.16.82
sat13-eth4	10.1.209.145
sat1544-eth1	10.1.209.146
sat13-eth5	10.1.209.209
sat1545-eth1	10.1.209.210
sat14-eth0	172.16.0.19
s1-eth15	None
sat13-eth2	10.0.10.209
sat14-eth1	10.0.10.210
sat14-eth2	10.0.11.33
sat15-eth1	10.0.11.34
sat14-eth3	10.0.16.17
sat33-eth1	10.0.16.18
sat14-eth4	10.1.215.49
sat1563-eth1	10.1.215.50
sat15-eth0	172.16.0.20
s1-eth16	None
sat14-eth2	10.0.11.33
sat15-eth1	10.0.11.34
sat15-eth2	10.0.11.97
sat16-eth1	10.0.11.98
sat15-eth3	10.0.15.193
sat32-eth1	10.0.15.194
sat15-eth4	10.1.214.225
sat1562-eth1	10.1.214.226
sat16-eth0	172.16.0.21
s1-eth17	None
sat15-eth2	10.0.11.97
sat16-eth1	10.0.11.98
sat16-eth2	10.0.11.161
sat17-eth1	10.0.11.162
sat16-eth3	10.0.15.129
sat31-eth1	10.0.15.130
sat16-eth4	10.1.214.145
sat1561-eth1	10.1.214.146
sat17-eth0	172.16.0.22
s1-eth18	None
sat16-eth2	10.0.11.161
sat17-eth1	10.0.11.162
sat17-eth2	10.0.11.225
sat18-eth1	10.0.11.226
sat17-eth3	10.0.15.65
sat30-eth1	10.0.15.66
sat17-eth4	10.1.214.81
sat1560-eth1	10.1.214.82
sat18-eth0	172.16.0.23
s1-eth19	None
sat17-eth2	10.0.11.225
sat18-eth1	10.0.11.226
sat18-eth2	10.0.12.49
sat19-eth1	10.0.12.50
sat18-eth3	10.0.14.225
sat29-eth1	10.0.14.226
sat18-eth4	10.1.214.1
sat1559-eth1	10.1.214.2
sat19-eth0	172.16.0.24
s1-eth20	None
sat18-eth2	10.0.12.49
sat19-eth1	10.0.12.50
sat19-eth2	10.0.12.129
sat20-eth2	10.0.12.130
sat19-eth3	10.0.15.1
sat29-eth2	10.0.15.2
sat19-eth4	10.1.214.17
sat1559-eth2	10.1.214.18
sat20-eth0	172.16.0.25
s1-eth21	None
sat0-eth2	10.0.12.113
sat20-eth1	10.0.12.114
sat19-eth2	10.0.12.129
sat20-eth2	10.0.12.130
sat20-eth3	10.0.14.145
sat28-eth1	10.0.14.146
sat20-eth4	10.1.213.161
sat1558-eth1	10.1.213.162
sat21-eth0	172.16.0.26
s1-eth22	None
sat3-eth3	10.0.12.177
sat21-eth1	10.0.12.178
sat21-eth2	10.0.13.17
sat22-eth2	10.0.13.18
sat21-eth3	10.0.18.209
sat42-eth2	10.0.18.210
sat21-eth4	10.0.24.17
sat61-eth1	10.0.24.18
sat22-eth0	172.16.0.27
s1-eth23	None
sat3-eth4	10.0.13.1
sat22-eth1	10.0.13.2
sat21-eth2	10.0.13.17
sat22-eth2	10.0.13.18
sat22-eth3	10.0.13.81
sat23-eth2	10.0.13.82
sat22-eth4	10.0.24.33
sat61-eth2	10.0.24.34
sat23-eth0	172.16.0.28
s1-eth24	None
sat2-eth3	10.0.13.65
sat23-eth1	10.0.13.66
sat22-eth3	10.0.13.81
sat23-eth2	10.0.13.82
sat23-eth3	10.0.13.145
sat24-eth2	10.0.13.146
sat23-eth4	10.0.23.193
sat60-eth1	10.0.23.194
sat24-eth0	172.16.0.29
s1-eth25	None
sat2-eth4	10.0.13.129
sat24-eth1	10.0.13.130
sat23-eth3	10.0.13.145
sat24-eth2	10.0.13.146
sat24-eth3	10.0.13.209
sat25-eth2	10.0.13.210
sat24-eth4	10.0.23.97
sat59-eth1	10.0.23.98
sat25-eth0	172.16.0.30
s1-eth26	None
sat1-eth3	10.0.13.193
sat25-eth1	10.0.13.194
sat24-eth3	10.0.13.209
sat25-eth2	10.0.13.210
sat25-eth3	10.0.14.33
sat26-eth2	10.0.14.34
sat25-eth4	10.0.23.113
sat59-eth2	10.0.23.114
sat26-eth0	172.16.0.31
s1-eth27	None
sat1-eth4	10.0.14.17
sat26-eth1	10.0.14.18
sat25-eth3	10.0.14.33
sat26-eth2	10.0.14.34
sat26-eth3	10.0.14.97
sat27-eth2	10.0.14.98
sat26-eth4	10.0.23.129
sat59-eth3	10.0.23.130
sat27-eth0	172.16.0.32
s1-eth28	None
sat0-eth3	10.0.14.81
sat27-eth1	10.0.14.82
sat26-eth3	10.0.14.97
sat27-eth2	10.0.14.98
sat27-eth3	10.0.14.161
sat28-eth2	10.0.14.162
sat27-eth4	10.0.23.33
sat58-eth1	10.0.23.34
sat28-eth0	172.16.0.33
s1-eth29	None
sat20-eth3	10.0.14.145
sat28-eth1	10.0.14.146
sat27-eth3	10.0.14.161
sat28-eth2	10.0.14.162
sat28-eth3	10.0.15.17
sat29-eth3	10.0.15.18
sat28-eth4	10.0.22.145
sat56-eth1	10.0.22.146
sat28-eth5	10.0.22.209
sat57-eth1	10.0.22.210
sat29-eth0	172.16.0.34
s1-eth30	None
sat18-eth3	10.0.14.225
sat29-eth1	10.0.14.226
sat19-eth3	10.0.15.1
sat29-eth2	10.0.15.2
sat28-eth3	10.0.15.17
sat29-eth3	10.0.15.18
sat29-eth4	10.0.15.81
sat30-eth2	10.0.15.82
sat29-eth5	10.0.22.81
sat55-eth1	10.0.22.82
sat30-eth0	172.16.0.35
s1-eth31	None
sat17-eth3	10.0.15.65
sat30-eth1	10.0.15.66
sat29-eth4	10.0.15.81
sat30-eth2	10.0.15.82
sat30-eth3	10.0.15.145
sat31-eth2	10.0.15.146
