1152	57
1195	4, 44, 61
1205	27
1234	38
1237	26
1262	80
1263	48
1265	35
1283	89
1301	77
1302	46
1325	73
1333	24
1341	84
1364	25, 45
1383	21
1386	19, 42, 47
1397	50
1406	40
1425	55, 87
1454	59
1455	12
1472	81
1481	18
1500	6
1514	7
1532	14
28	65
53	31
83	53
97	14
101	0, 33
142	8, 78
200	22
203	49
232	66
240	91
305	80
339	72
341	11
363	34
428	36
445	30
447	6, 23
464	82
482	68
483	55
484	77
493	50
514	85
528	2, 67, 81
540	12
546	51
559	5, 76
560	20
567	46
568	86
570	7
576	92
603	83
615	17
621	60
622	62
624	32
640	26
648	3, 18, 59
651	57
677	70
736	74
781	56
934	75
962	16
1073	96
1101	54
1123	71
1142	37
1191	88, 94
1210	9, 64
1233	52
1234	79
1275	39
1307	28
1329	4, 44, 58, 61
1352	97
1363	1, 38
1365	48, 63
1384	10, 13
1394	29
1404	35
1408	89
1415	27
1416	21
1432	73
1433	24
1451	99
1452	84
1477	15, 41
1478	19, 25, 42, 45, 47
1494	95
1522	40, 43
1546	90
1547	98
1550	69
1554	87, 93
1	72, 96
41	38
86	1
87	44, 61
96	58
127	28
150	10, 13
167	53
177	99
178	15, 41
179	23, 81, 85, 93
210	87
221	20
238	35
239	40
242	29
253	19, 25, 42, 45, 47, 86, 95
254	51
255	31
261	76
281	65
283	48, 63
288	0
349	90
439	98
507	88
633	16
635	66
636	34
657	22
786	92
791	54
843	37
860	60, 62
861	56, 94
867	8, 78
874	91
877	24
882	83
898	5
899	70
900	9, 64, 74
904	27
907	52
940	49
954	79
