sat1-eth1	10.0.6.226
sat1-eth2	10.0.7.113
sat2-eth1	10.0.7.114
sat1-eth3	10.0.14.193
sat25-eth1	10.0.14.194
sat1-eth4	10.0.15.33
sat26-eth2	10.0.15.34
sat1-eth5	10.2.5.145
sat1537-eth2	10.2.5.146
sat1-eth6	10.2.5.209
sat1538-eth1	10.2.5.210
sat1-eth7	10.2.6.33
sat1539-eth1	10.2.6.34
sat1-eth8	10.2.6.97
sat1540-eth1	10.2.6.98
sat2-eth0	172.16.0.7
s1-eth3	None
sat1-eth2	10.0.7.113
sat2-eth1	10.0.7.114
sat2-eth2	10.0.7.177
sat3-eth1	10.0.7.178
sat2-eth3	10.0.15.97
sat27-eth1	10.0.15.98
sat2-eth4	10.2.5.33
sat1536-eth1	10.2.5.34
sat3-eth0	172.16.0.8
s1-eth4	None
sat2-eth2	10.0.7.177
sat3-eth1	10.0.7.178
sat3-eth2	10.0.8.1
sat4-eth1	10.0.8.2
sat3-eth3	10.0.15.113
sat27-eth2	10.0.15.114
sat3-eth4	10.2.5.49
sat1536-eth2	10.2.5.50
sat4-eth0	172.16.0.9
s1-eth5	None
sat3-eth2	10.0.8.1
sat4-eth1	10.0.8.2
sat4-eth2	10.0.8.65
sat5-eth1	10.0.8.66
sat4-eth3	10.0.15.177
sat28-eth1	10.0.15.178
sat4-eth4	10.2.4.209
sat1535-eth1	10.2.4.210
sat5-eth0	172.16.0.10
s1-eth6	None
sat4-eth2	10.0.8.65
sat5-eth1	10.0.8.66
sat5-eth2	10.0.8.145
sat6-eth1	10.0.8.146
sat5-eth3	10.0.16.1
sat29-eth1	10.0.16.2
sat5-eth4	10.0.16.65
sat30-eth1	10.0.16.66
sat5-eth5	10.2.4.145
sat1534-eth1	10.2.4.146
sat6-eth0	172.16.0.11
s1-eth7	None
sat5-eth2	10.0.8.145
sat6-eth1	10.0.8.146
sat6-eth2	10.0.9.49
sat7-eth1	10.0.9.50
sat6-eth3	10.0.16.129
sat31-eth1	10.0.16.130
sat6-eth4	10.0.16.193
sat32-eth1	10.0.16.194
sat6-eth5	10.0.17.17
sat33-eth1	10.0.17.18
sat6-eth6	10.0.17.81
sat34-eth1	10.0.17.82
sat6-eth7	10.2.3.177
sat1531-eth1	10.2.3.178
