sat41-eth3	10.0.19.209
sat42-eth4	10.0.19.210
sat42-eth5	10.0.20.81
sat43-eth2	10.0.20.82
sat42-eth6	10.0.21.225
sat48-eth1	10.0.21.226
sat42-eth7	10.0.22.49
sat49-eth1	10.0.22.50
sat42-eth8	10.0.20.33
gs28-eth1	10.0.20.34
sat42-eth9	10.0.20.49
gs30-eth1	10.0.20.50
sat43-eth0	172.16.0.48
s1-eth44	None
sat15-eth3	10.0.20.65
sat43-eth1	10.0.20.66
sat42-eth5	10.0.20.81
sat43-eth2	10.0.20.82
sat43-eth3	10.0.20.161
sat44-eth2	10.0.20.162
sat43-eth4	10.0.22.113
sat50-eth1	10.0.22.114
sat43-eth5	10.0.23.1
sat51-eth1	10.0.23.2
sat44-eth0	172.16.0.49
s1-eth45	None
sat16-eth3	10.0.20.145
sat44-eth1	10.0.20.146
sat43-eth3	10.0.20.161
sat44-eth2	10.0.20.162
sat44-eth3	10.0.21.1
sat45-eth3	10.0.21.2
sat44-eth4	10.0.23.17
sat51-eth2	10.0.23.18
sat45-eth0	172.16.0.50
s1-eth46	None
sat16-eth4	10.0.20.209
sat45-eth1	10.0.20.210
sat24-eth3	10.0.20.225
sat45-eth2	10.0.20.226
sat44-eth3	10.0.21.1
sat45-eth3	10.0.21.2
sat45-eth4	10.0.23.81
sat52-eth1	10.0.23.82
sat45-eth5	10.0.23.145
sat53-eth1	10.0.23.146
